Top 5 Products,Image Link,About,Price ,Features,Category
Misfit T200 3-in-1 Grooming Kit for Men,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/Untitled-3_800x.png?v=1661405585,"The 3-in-1 T200 Grooming Kit is here to give you a salon-like finish with ease. So let’s say hi to #YourStyleWingman, that’s focused to help you with beard styling, nasal hair trimming, and manscaping needs.","Sale price? 1,199","TITANIUM BLADE
TRIMMING RANGE   : 0.5 - 12MM
BATTERY RUNTIME  : 120 Minutes
LENGTH SETTINGS    : * Office look with short stubble
                                        * Casual look with a consistent beard
                                        * Party look: Styled beard or Zero beard
CHARGING TIME        : 1.5 Hours
USB CHARGING
CORD/CORDLESS USAGE",Misfit - Best Trimmer for Men
boAt Deuce USB 300,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/5abfc4a1-e100-42da-ba97-1b540446596e_600x.png?v=1625046268,"boAt Deuce USB 300 2-in-1 Type C + Micro USB cable is compatible with most smartphones, tablets, PC peripherals, Bluetooth speakers, power banks, game consoles, cameras, hard drives and all other Type C or Micro USB port enabled devices. The cable ensures 3A fast charging and data transmissions with rapid sync at 480 mbps. The premium braided skin makes it tough and the stress resistant, flexible design makes it last 10 times longer than other standard cables. With 10000+ Bends Lifespan the Aluminium alloy shell housing offers longevity with extended frame protection for strain relief. Deuce USB 300 cable offers a perfect 1.5 meters in length for smooth & hassle free user experience.",Sale price? 329,"Universal Compatibility: 2-in-1 Type C + Micro USB cable.
3A fast charging and data transmissions with rapid sync at 480 Mbps.
Premium Nylon Braided Skin.
Resilient and flexible design.
Aluminum alloy shell housing with 10000+ Bends Lifespan.
2 years warranty provided by the manufacturer from date of purchase",Mobile Accessories
boAt Rugged V3 Micro,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/rugged-v3-blue_600x.png?v=1613457268,"The boAt lifestyle rugged Micro USB cables are really rugged and made to be compatible with all micro USB devices. No warning message works the same as the cable you get with your device. Connects to your Smartphones, Mp3 Players, or other micro USB supported devices and charges or syncs by connecting the USB connector into your wall charger or computer. Fully supports data sync and battery re-charging for any micro USB device. No need to wrap, the cable design makes them tangle-free. Choose your style to charge in. Plug it in, plug into Nirvana.",Sale price? 299,"Universal Compatibility: Compatible with all Micro USB enabled devices.
2.4A rapid charge, fast data transmission, and rapid speed to sync your device at the speed up to 480mbps.
Superior Build & Tangle-free: Braided Cable.
Extra tough polyethylene terephthalate cable skin ensures 10000 plus bend lifespan, stress, and stretch resistance.
The boAt rugged cable features our special toughest polyethylene braided jacket.
2 years warranty provided by the manufacturer from date of purchase",Mobile Accessories
boAt AUX 500,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/bb0fe87d-3ff0-472c-ba37-4b6e07d36114_600x.png?v=1625045531,"3.5MM male to 3.5MM male cable. Compatible with smartphones and tablets. Spaceship grade aluminum casing ensures long-lasting durability. Metal braided heavy-duty aux cable is stress and stretch resistant, protects against day-to-day wear and tear.",Sale price? 349,"3.5MM male to 3.5MM male aux cable. Compatible with smartphones and tablets.
Space ship grade aluminum casing ensures long-lasting durability.
Metal braided heavy-duty aux cable is stress and stretch resistant, protects against day-to-day wear and tear.
Tangle-free cord design eliminates bunching, tangles, knots, and 1.5 meters in length.
Dual Shielding, polished metal molding, corrosion-resistant plugs deliver crisp sounds and minimal signal loss.
2 years warranty provided by the manufacturer from date of purchase.",Mobile Accessories
boAt Micro USB 550,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/main_1d49f007-2024-470c-8c4e-1d4758920e70_600x.png?v=1618923027,"boAt Micro USB 550 cable is compatible with most smartphones, tablets, PC peripherals, Bluetooth speakers, power banks, game consoles, cameras, hard drives and all other Micro USB port enabled devices. The cable ensures 3A fast charging and data transmissions with rapid sync at 480 mbps. The premium braided skin makes it tough and the stress resistant, flexible design gives it a 10000+ Bends Lifespan. The Aluminium alloy shell housing offers longevity with extended frame protection for strain relief. Micro USB 550 cable offers a perfect 1.5 meters in length for smooth & hassle-free user experience.",Sale price? 129,"Charging Speed                                 : boAt Micro USB 550 cable delivers up to 3A fast charging speed and up to 480 Mbps transfer speed.
Super Strength Connectors            : The compact durable connector fits seamlessly to your device.
Universal Compatibility                  : Compatible with all Micro USB enabled devices.
Warranty                                           : boAt Micro USB 550 comes with a 2 years warranty from the date of purchase.
Country Of Origin                             : China",Mobile Accessories
boAt LTG 500,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/ltg1_600x.png?v=1623813149,"Apple certified lightning charging and sync cable Compatible with Apple iPhone 6/ 6 Plus, 5S/5C/5, iPad Air 1/2, iPad2/3/4, iPad Mini 1/2/3, iPad Retina and iPod Touch Spaceship grade aluminum cable casing ensures long-lasting durability and reliable charging Metal braided heavy-duty cable skin, is stress and stretch resistant, protects against day-to-day wear and tear Provides up to 2.4A data transfer and high-speed charging Tangle-free cord design eliminates bunching, tangles, knots and 1 meter length.",Sale price? 799,"Apple certified lightning charging and sync cable
Compatible with Apple iPhone 6/ 6 Plus, 5S/5C/5, iPad Air 1/2, iPad2/3/4, iPad Mini 1/2/3, iPad Retina and iPod Touch.
Spaceship grade aluminium cable casing ensures long-lasting durability and reliable charging.
Metal braided heavy-duty cable skin, is stress and stretch resistant, protects against day-to-day wear and tear.
Provides up to 2.4A data transfer and high-speed charging.
2 years warranty provided by the manufacturer from date of purchase",Mobile Accessories
boAt Storm,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/a6549acb-b075-4c3e-8ed3-9c9fcba32d42_600x.png?v=1625046216,"The boAt Watch Storm is the perfect companion for your fitness transformation. Your Watch Storm is here to remove all obstructions that you may face in your fitness journey. With its daily activity tracker and 9 different sports modes, it will now be fun to track your journey towards health. Stay alert at all times with smart notifications from your phone with vibration alerts for calls, texts, schedule reminders, alarms, & more! The “wellness mode” of the smartwatch monitors your sleep, heart rate, blood oxygen levels as well as guides you into a meditative state when you need to relax. It also comes with a menstruation cycle tracker that predicts your cycle and health. Its “find my phone” feature will call your phone to easily locate it. The 5 ATM water resistance will keep the watch safe from splashes & sweat too!","Sale price? 1,999","Bluetooth Version                : 4.2
Operating Temperature      : ""-20°C"" -  ""45°C""
Bluetooth Range                         : 10M
Battery Capacity                         : 210mAh
Working Time                              : Up to 8-10 Days
Charging Time                              : 2.5 Hours
Charging Type                              : USB Direct Charge
Standby Time                               : 20-30 Days
Activity Tracking                          : 9 Activites
Call Alert                                       : Yes
Music Control                              : Yes
Guided Meditative Breathing    : Yes
Country Of Origin                        : China
Waterproof                                  : 5 ATM",Smart Watches
boAt Xtend?,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/main6_2_600x.png?v=1640628318,"Ask more, get more, and do more with the smartest smartwatch in town - the all-new boAt Xtend. Leave your phone in your pocket and get your tasks done with a built-in Alexa. Take control over your music, fitness, and more with a 1.69"" (4.29 Cms) complete capacitive LCD display. Your wellness is now on your wrist with its Guided Meditative Breathing, Stress Monitor, and Sleep SpO2 Monitoring. Its 50 watch faces let you don a unique style every day. Make more out of your days with boAt Xtend.","Sale price? 2,699","Bluetooth Version                                  : BLE5.0
Operating Temperature                        : ""-10°C"" -  ""45°C""
Bluetooth Range                                    : 10M
Battery Capacity                                    : 300mAh
Working Time                                         : Up to 7-10 Days
Charging Time                                         : around 2 Hours
Charging Type                                         : Magnetic Charger
Sports Mode                                            : 14 Sports Mode
Call Alert                                                   : Yes
Music Control                                          : Yes
Guided Meditative Breathing                : Yes
Country Of Origin                                    : China
Waterproof                                              : 5 ATM",Smart Watches
boAt Wave Connect,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/blue_d8db0011-02f7-43d6-9fe7-7a71a9ed86d2_600x.png?v=1654312290,StayConnected to the people who matter with boAt Wave Connect – our fresh new bluetooth calling smartwatch. Strike the balance between personal and professional with the power to save 20 contacts right in your bluetooth calling smartwatch for instant dialing. Your wrist is ringing – pick up!,"Sale price? 2,999","Model                                           : Wave Connect
Screen Type                                 : 1.69"" (4.29 Cms) HD Display
Battery Capacity                         : 300 mAh
Bluetooth Version                      : V 5.1
Working Temperature                : -10 to 45 degree
Charging Time                              : About 2 hours
Working Time                               : upto 8 days
Country Of Origin                         : China",Smart Watches
boAt Wave Lite,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/WaveLite_GIFCarousal_002_800x.jpg?v=1674503938,"Lighter goes longer. Wear Watch Wave Lite for longer hours without discomfort. Weighing only 44.8GMS, its sleek design will be your hustle partner for as long as 7 days on one full charge. #LiteItUp with a superior 4.29 cm HD Display with 550 Nits brightness offering 70% RGB color gamut and 160 degree view angle. Track your health and ace your game with Heart Rate Monitor, Sleep Tracker, Real SpO2 Sensors, and 10 different sports modes. Get it and ride the Wave.","Sale price? 1,699","Model                                           : Watch Wave Lite
Screen Type                                 : 4.29 cm HD Display
Battery Capacity                         : 240mAh
Bluetooth Version                      : Bluetooth 5.0
Working Temperature                : 0-60 degree
Charging Time                              : about 2.5 hours
Working Time                               : about 7 days
Country Of Origin                         : China",Smart Watches
boAt Watch Flash,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/9e5b8bf2-29bf-4e1c-b24f-f8f4196ac14b_600x.png?v=1676434921,"Dear boAtheads, we bring to you Watch Flash that isn’t here to make you squint your eyes but widen them with awe and wonder even more! With a 33mm LCD Display and a perfectly round dial boAt Flash smartwatch is what you will be flaunting in style. It is slim, sleak, eye-catching with a metallic finish and comes in dual colors. Oh! The uniqueness is just how you like it. What more? boAt Flash smart watch will be monitoring your heart rate and blood oxygen SpO2 24*7 So do that intense workout and sleep without a worry too! 10 active sports mode and activity tracker will only make your life easier and the six watch faces will dwell with your mood and keep you sassed. With live weather forecast, 7 day long battery, music and camera control, IP68, get ready to be fit in a flash and love it!","Sale price? 1,999","Bluetooth Version                                : 5.0
Operating Temperature                      : ""-20°C"" -  ""65°C""
Bluetooth Range                                   : 10M
Battery Capacity                                   : 200mAh
Working Time                                        : Up to 7 Days
Charging Time                                        : 2 Hours
Charging Type                                        : Magnetic Attachable Charger Cable
Standby Time                                         : 15-20 Days
Activity Tracking                                    : 10 Activites
Call Alert                                                 : Yes
Music Control                                        : Yes
Blood Oxygen Level Monitoring         : Yes
Country Of Origin                                  : China
Waterproof                                            : IP68",Smart Watches
boAt Stone 350,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/74a6b20d-9842-49da-b279-022812b81e1f_600x.png?v=1673001663,"The Stone 350 comes with 10W Stereo Sound that gives excellent stereo sound designed, the right bass and clarity to your music. With its lightweight cylindrical design, feel the comfort as you carry it everywhere. Not only that, these wireless speakers are further protected by IPX7 dust and water resistance rating to give you the ultimate peace of mind. With its 2200mAh battery capacity, power yourself through 12 hours of immersive listening and be the life of every party! If that isn’t enough, add a second speaker with our TWS technology and enjoy sound, twice as powerful! All of that with multiple EQ and connectivity modes, including Bluetooth v5.0, TF Card & AUX Compatible with both Android and iOS.","Sale price? 1,699","Speaker Type              : Mono
IPX Rating                    : IPX7
Driver Type                  : Full range driver
Driver Size                    : 52 mm
Number of Drivers      : 1
Frequency Response   :70Hz-70kHz
Impedance                    : 4O
Wireless Technology   : Bluetooth
Bluetooth Version        : V5.0 + EDR
Bluetooth Range          : 10M
Battery Capacity          : 2200 mAh
Rated Power                : 10W
Playing Time                 : 12 Hours
Charging Time              : 1.5 Hours
Country Of Origin        : China
Microphone                  : Yes",Bluetooth Speakers
boAt Stone 190,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/8f17d4a5-844a-472d-9c60-d9741fd0290e_600x.png?v=1625045367,"Immerse in Nirvana with boAt Stone 190 wireless portable speaker. The speaker comes equipped with 52mm dynamic driver for an immersive audio experience. It supports instant wireless connectivity with the latest Bluetooth v5.0. One may elevate the surrounding vibes with Stone 190 in another way apart from the wireless functionality: it comes equipped with the provision for AUX connectivity as well. The lightweight ergonomics offers enhanced portability while on the move. Immerse into the realm of Nirvana wherever you are, with boAt Stone 190.","Sale price? 1,299","Speaker Type              : Mono
IPX Rating                    : IPX7
Driver Type                  : Full range driver
Driver Size                    : 5.2 cm
Number of Drivers      : 1
Frequency Response  : 70Hz-70kHz
Impedance                   : 4O
Wireless Technology  : Bluetooth
Bluetooth Version      : V5.0 + EDR
Bluetooth Range         : 10M
Battery Capacity         : 800 mAh
Rated Power                : 5W
Playing Time                 : 4 Hours
Charging Time              : 1.5 Hours
Country Of Origin        : China
Microphone                  : Yes",Bluetooth Speakers
boAt Stone 650,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/a9474cf2-0bed-4318-a2ab-2ab8608a5552_600x.png?v=1625045298,"Surrounded by smooth secure silicon coated on the outside and a diamond gridded mesh, break the balance with the IPX 5 rated boAt stone 650 bluetooth speakers online. This dynamic speaker with 2-inch x 2 drivers with 10w’s gives you that premium audio experience, so enter the session of sound. So up your game with Bluetooth v5.0 for the optimum wireless experience that can switch into aux mode at a moment’s notice. Perfect for you and your friends, light up the scene with up to 7 hours of playtime backed by a 1800mah capacity lithium battery.","Sale price? 1,999","Speaker Type                   : Stereo
IPX Rating                         : IPX5
Driver Type                       : Full Range Driver
Driver Size                         : 5.08 cm * 2 Drivers
Impedance                        : 4O
Sensitivity (dB)                  : 89dB±3DB
Frequency Response       : 2.4GHz-2.480GKHz
Battery Capacity (mAh)   : 1800 mAh
Playback Time                   : 7 hours
Charging Time                   : 3.5 hours
Bluetooth Version            : V5.0
Country Of Origin             : China
Compatibility                     : All Bluetooth Devices
Bluetooth Range               : 10M",Bluetooth Speakers
boAt Stone Grenade,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/main_blue_e09ae3e8-7534-4ad2-a9a2-1b545a423fd1_600x.png?v=1635842500,"Say hello to the boAt Stone Grenade bluetooth speakers, half the size of Grenade XL only because it’s twice as portable and IPX 6 Water Resistant. Needless to say, it’s the bomb. The Grenade sinks in best with its surroundings, so don’t be afraid to take it out. Equipped with 1.75” full-range drivers, acknowledge the ambition. You can play the vibe your way with Bluetooth V4.2 providing you the optimum wireless experience. Set with a soft fabric on this impish shaped speaker, gets the music going with a click via the easy access integrated controls. So tap into Nirvana with the simplest of ease knowing you can solve your problems with just a click. You can mix in with the beat with up to 7 hours of Detonation via a 1200mAh lithium battery. Sail free into the sunset of Nirvana.",Sale price? 999,"Speaker Type                     : Mono
IPX Rating                          : IPX6
Driver Type                        : full-range driver
Driver Size                         : 4.445 cm
Impedance                        : 4O
Sensitivity (dB)                  : 80dB±3DB
Frequency Response       : 180Hz-20KHz
Battery Capacity (mAh)  : 1200 mAh
Playback Time                  : 7 hours
Charging Time                  : 2 hours
Standby Time                   : 360 hours
Bluetooth Version           : V4.2
Country Of Origin           : China
Compatibility                  : All Bluetooth Devices
Bluetooth Range            : 10M",Bluetooth Speakers
boAt Stone 1500,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/f9eb4f53-11f5-4a42-8583-295b097b7a45_600x.png?v=1673001902,Immerse in Nirvana with boAt Stone 1500 portable wireless speaker. The speaker comes equipped with instant Bluetooth v4.2 for optimum wireless connectivity. The powerful drivers offer dynamic 40W boAt Signature Sound to enthrall you while you immerse in blissful auditory experience. The colossal 4000mAh battery helps pump out playback for up to 15 hours and the speaker comes equipped with Type-C charging port for seamless charging. Its rugged and robust design is IPX6 rated that ensures resistance against shocks or water scares.,"Sale price? 5,999","Speaker Type                         : Stereo
IPX Rating                               : IPX6
Driver Type                             : Full Range Driver
Driver Size                               : 70mm *2 outer & 31mm *2 inner
Impedance                              : 6O &4 O
Sensitivity (dB)                        : 75dB±3DB
Frequency Response             : 20Hz-20KHz
Battery Capacity (mAh)         : 4000 mAh
Playback Time                         : 15 hours
Charging Time                         : 4.5 hours
Standby Time                          : 360 hours
Bluetooth Version                  : V4.2
Country Of Origin                   : China
Compatibility                           : All Bluetooth Devices
Bluetooth Range                     : 10M",Bluetooth Speakers
boAt BassHeads 103,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/103_600x.png?v=1574927262,"Get hooked to the crystal clear audio of boAt Bassheads 103 wired earphones. Designed with casual elegance, choose the color that sets your vibe on fire. Connect to all types of devices with 3.5mm jack and enjoy a secure fit as well as a comfortable listening experience with the perfect length tangle-free cable. Equipped with an in-line mic and voice assistant feature, easily take charge of your calls and music.",Sale price?  499,"Headphone Type               : In-Ear
Super Extra Bass                : Yes
Driver Size                           : 10 mm
Impedance                          : 16O
Sensitivity (dB)                    : 107db
Frequency Response          : 20Hz-20KHz
Noise Isolation                    : Passive
Microphone                          : Yes
Country Of Origin                 : China
Rated Power                         : 3mW
Compatibility                         : All 3.5mm Jack Device",TRebel
boAt BassHeads 100,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/48f99cab-b0ac-4e12-a5b4-fca6af5adf47_600x.png?v=1656750183,"boAt BassHeads 100 Stereo In-Ear Earphones are designed to give you an experience that no other product can match. As the headphones feature 10mm drivers, they give you clear sound with that enhanced bass. Inbuilt noise, isolation mic ensures you don’t miss those important calls. With two exciting colors that match your style in your day, the boAt earphones are the ideal choice for anyone who can carry the “Hawk Attitude”.",Sale price?  399,"Headphone Type            : In-Ear
Super Extra Bass             : Yes
Driver Size                        : 10 mm
Impedance                       : 16O
Sensitivity (dB)                 : 92db ±3db
Frequency Response      : 20Hz-20KHz
Noise Isolation                : Passive
Microphone                      : Yes
Country Of Origin             : China
Rated Power                      : 2mW
Compatibility                     : All 3.5mm Jack Device",TRebel
boAt TRebel BassHeads 242,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/c1cb9fb6-b924-4474-a8f6-dc06ebc6c610_600x.png?v=1673000823,"Get ready to redefine fitness fashion and utility with the wired headphone boAt Bassheads 242, it’s time to get your sport on. It carries ear hooks that are crafted from silicon to maximize comfort and a secure fit that allows you to maximize your workouts. Coated with IPX 4 sweat and water protection, the Bassheads 242 emphasizes on all-around ability with 10mm drivers that reproduce a quality sound. Move around freely with the superior coated cable that reaches comfortably from your pocket till your ears. Connect to a number of devices with ease using the 3.5mm straight jack, because there’s no stress, only sweetness when you’re riding the waves on this boAt. You can tune in and out with the pause/play button that can also take calls (With In-line Mic.) and control volume in-between exercise reputations.",Sale price?  599,"Headphone Type            : In-Ear
Super Extra Bass             : Yes
Driver Size                        : 10 mm
Impedance                       : 32O
Sensitivity (dB)                 : 101db ±3db
Frequency Response      : 20Hz-20KHz
Noise Isolation                : Passive
Microphone                     : Yes
Country Of Origin            : China
Rated Power                    : 3mW
Compatibility                   : All 3.5mm Jack Device",TRebel
boAt BassHeads 225,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/3f927a50-8a07-4391-9a60-fce609bcf43b_800x.png?v=1625046023,"boAt Bass Heads 225 polished metal earphonesare designed to give you an experience that no other brand can match. It has an incredible sonic clarity with ""super extra bass"". With tangle-free flat cables, you are expected to be hassle-free. As the wired headphones feature 10mm drivers, they give you clear sound with that thumping bass. In-built noise-canceling mic ensures you don't miss those important calls. With colors that match your style in your day, these earphones are the ideal choice for anyone who can carry that attitude. Define your style with the colour of your choice.",Sale price?  399,"Headphone Type            : In-Ear
Super Extra Bass             : Yes
Driver Size                        : 10 mm
Impedance                       : 16O
Sensitivity (dB)                 : 92db ±3db
Frequency Response      : 20Hz-20KHz
Noise Isolation                : Passive
Microphone                     : Yes
Country Of Origin           : China
Rated Power                    : 2mW
Compatibility                   : All 3.5mm Jack Device",TRebel
boAt Bassheads 900,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/8ec58553-3255-48ec-929e-4838215b640c_800x.png?v=1625046271,"The boAt BassHeads 900 wired headphones come with an amalgamation of style with performance. Now get ready to enjoy your favourite tunes with Super Extra Bass and crystal-clear sound performance with Bass Heads 900 wired headphones. Experience powerful, dynamic sound with punchy bass and clear, natural vocals with the responsive 40mm Neodymium drivers, the drivers effectively reproduce sound equally across the whole audio band. The ergonomic design creates passive attenuation of ambient noise while providing maximum comfort for hours of listening pleasure in a snuggly fit without fatigue. The sleek, lightweight, and compact design makes portability extremely convenient. The foldable and compact Feather Light Headphone weighs even less than 150 g, moreover, the ear cups can be folded for easy, convenient storage.",Sale price?  849,"Headphone Type                : On-Ear
Super Extra Bass                 : Yes
Driver Size                            : 40 mm
Impedance                           : 32O
Sensitivity (dB)                     : 101db ±3db
Frequency Response          : 20Hz-20KHz
Noise Isolation                    : Passive
Microphone                         : Yes
Country Of Origin                : China
Rated Power                        : 3mW
Compatibility                       : All 3.5mm Jack Device",TRebel
boAt Rockerz 235 V2,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/ed46e58c-9643-43e0-b350-9539d293aa51_600x.png?v=1625045114,"Say goodbye to noise from the outside world and plug into your musical serenity with the best wireless headphones boAt Rockerz 235V2. The latest Bluetooth v5.0 in boAt Rockerz 235V2 offers a seamless wireless experience while you listen to your sounds. Now you don’t have to wait for long while the Bluetooth headphones get charged as it also comes with Fast Charging technology. The IPX5 sweat and water resistance offers a shield to your headset, whether you sweat it out at the gym or get indulged in adrenaline-pumping action. It also offers call vibration alert feature to the users. With in-built mic, it supports seamless hands-free communication. With a playtime of up to 8 hours, remain plugged in to the rhythms of fun, life and energy on your boAt Rockerz 235V2.",Sale price? 1183,"Headphone Type              : In-Ear
IPX Rating                           : IPX5
Driver Type                         : Dynamic 
Driver Size                           : 10 mm
Impedance                          : 16O
Sensitivity (dB)                    : - 98dB±3DB
Frequency Response         : 20Hz-20KHz
Battery Capacity (mAh)    : 110 mAh
Playback Time                    : 8 hours
Power Source                     : 3.7V/120 mAh
Compatibility                      : All Bluetooth Devices
Charging Time                    : 1.5 hours
Standby Time                     : 150 hours
Talktime                              : 8 hours
Country Of Origin              : China
Bluetooth Version             : V5.0",Wireless Headphones
boAt Rockerz 255 Pro+,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/R255-pro-plus-FI-2_4d688eb6-2427-457b-9100-1ea64331ea22_800x.jpg?v=1655378032,"Tap into the world of Rockerz 255 Pro+. The unbeatable boAt Signature Sound comes packed with extra graphene drivers and a bass unlike anything else. Experience the magic of Dual Pairing and instant connectivity with the latest Bluetooth v5.2. These bluetooth earphones can last up to 40 hours in one go and supports Type-C charging. With ASAP Charge, get a playtime of 10H with only 10 minutes of charge. Its IPX7 rating makes it perfect for an adventurous lifestyle as it is made to resist dust and water scares.","Sale price? 1,299","Headphone Type                    : In-Ear
IPX Rating                                 : IPX7
Driver Size                                : 10 mm
Impedance                               : 32O
Frequency Response              : 20Hz-20KHz
Battery Capacity (mAh)         : 300 mAh
Playback Time                         : 40 hours (at 60% volume)
Compatibility                           : All Bluetooth Devices
Charging Time                          : 1.5 hours
Standby Time                           : 100 hours
Bluetooth Version                   : v5.2
Country Of Origin                    : China
Bluetooth Version                   : V5.0",Wireless Headphones
boAt Rockerz 255 Pro ,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/playback-navy_0aa7114b-ff9d-4148-b14a-138dbc257d1e_800x.jpg?v=1655391821,Plug Into Nirvana on your boAt Rockerz 255 Pro wireless headphones that come equipped with the latest Bluetooth v5.0. cVc technology ensures you a seamless calling experience. The Bluetooth headset offers Fast Charging Technology meaning you can fully charge it in only 1 hour. It offers a playtime of up to 6 hours with its powerful battery for an extended immersive experience. It is IPX5 rated to offer protection against sweat and water scares.,"Sale price? 1,399","Headphone Type                          : In-Ear
IPX Rating                                       : IPX5
Driver Type                                     : Dynamic 
Driver Size                                       : 10 mm
Impedance                                      : 16O
Sensitivity (dB)                                : - 98dB±3DB
Frequency Response                     : 20Hz-20KHz
Battery Capacity (mAh)                : 110 mAh
Playback Time                                : 6 hours
Power Source                                 : 3.7V/120 mAh
Compatibility                                  : All Bluetooth Devices
Charging Time                                 : 1.5 hours
Standby Time                                  : 150 hours
Talktime                                           : 6 hours
Country Of Origin                           : China
Bluetooth Version                          : V5.0",Wireless Headphones
boAt Rockerz 550,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/R550ergonomicdesign_e046c0e1-88cb-4a5b-aa08-74785bd8c4b4_800x.jpg?v=1659339569,boAt Rockerz 550 is an over-ear wireless headset that has been ergonomically designed to meet the needs of music lovers. The headphones come equipped with the latest Bluetooth v5.0 for instant wireless connectivity. Its powerful 500mAh battery provides playtime of up to 20 hours for an extended audio bliss. Its 50mm dynamic drivers help supply immersive musical experience to the user with immersive sound. The user can utilize the headset via dual connectivity in the form of Bluetooth and AUX.,"Sale price? 1,799","Headphone Type                    : Over-Ear
Driver Type                              : Moving Coil Driver
Driver Size                                : 50 mm
Impedance                               : 32O
Sensitivity (dB)                         : 90dB±3DB
Frequency Response              : 20Hz-20KHz
Battery Capacity (mAh)         : 500 mAh
Playback Time                         : 20 hours
Charging Time                         : 2.5 hours
Standby Time                          : 180 hours
Bluetooth Version                 : V5.0
Country Of Origin                  : China
Compatibility                         : All Bluetooth Devices
Bluetooth Range                   : 10M",Wireless Headphones
boAt Rockerz 335,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/4e46c827-3a82-4710-bd16-811aae38f662_600x.png?v=1625046136,"The earbuds are magnetic and are IPX5 rated to offer resistance against water and sweat. Charging this Headset is easy as there is a Type C interface for the same. It offers wireless connectivity via Bluetooth v5.0 and lets the user connect it to two devices simultaneously via dual pairing. . You can command your playback, hands-free and smart voice assistant via its easy to access integrated controls and built-in mic. The wireless earphones come in 3 stylish variants.","Sale price? 1,699","Headphone Type                    : In-Ear
IPX Rating                                : IPX5
Driver Type                             : Dynamic 
Driver Size                               : 10 mm
Impedance                              : 16O
Sensitivity (dB)                        : - 98dB±3DB
Frequency Response             : 20Hz-20KHz
Battery Capacity (mAh)        : 150 mAh
Playback Time                        : 30 hours
Power Source                         : 3.7V/150 mAh
Compatibility                          : All Bluetooth Devices
Charging Time                        : 40 minutes
Standby Time                         : 150 hours
Talktime                                  : 30 hours
Country Of Origin                  : China
Bluetooth Version                 : V5.0",Wireless Headphones
